Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id
b0134,P31057,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,REP-1m3u,1m3u-A_clean.pdb,Protein Data Bank,28237.1171,1.33E-06,2237,Cytosol,iJL1678,x,,,iML1515_v1
b0135,P31058,yadC,Uncharacterized fimbrial-like protein YadC,REP-E00130,E00130_clean-X_clean.pdb,metaTASSER,44898.669,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0136,P37016,yadK,Uncharacterized fimbrial-like protein YadK,REP-E00131,E00131_clean-X_clean.pdb,metaTASSER,21111.779,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0137,P37017,yadL,Uncharacterized fimbrial-like protein YadL,REP-32_201_3jwn.1.C_59cb2d6bafa3585bad038d69,b0137_32_201_3jwn_clean.pdb,SWISS-MODEL,21046.7053,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0138,P37018,yadM,Uncharacterized fimbrial-like protein YadM,REP-24_189_3jwn.1.C_59cc3f28a52be777386a69a8,b0138_24_189_3jwn_clean.pdb,SWISS-MODEL,20306.7714,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0139,P33129,htrE,Outer membrane usher protein HtrE,REP-57_863_3rfz.1.B_59cc18d4e6291d8ea1a84e9f,b0139_57_863_3rfz_clean.pdb,SWISS-MODEL,95498.2871,,,Outer_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0140,P33128,yadV,Probable fimbrial chaperone YadV,REP-5ghu,5ghu-A_clean.pdb,Protein Data Bank,27053.5295,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0141,P37050,yadN,Uncharacterized fimbrial-like protein YadN,REP-E00136,E00136_clean-X_clean.pdb,metaTASSER,20117.3844,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0142,P26281,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,REP-5etp,5etp-A_clean.pdb,Protein Data Bank,18078.5667,3.80E-08,64,Cytosol,iJL1678,x,,,iML1515_v1
b0143,P0ABF1,pcnB,Poly(A) polymerase I,REP-3aqm,3aqm-A_clean.pdb,Protein Data Bank,53870.2722,2.79E-08,47,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0144,P27305,gluQ,Glutamyl-Q tRNA(Asp) synthetase,REP-1nzj,1nzj-A_clean.pdb,Protein Data Bank,34867.1365,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0145,P0ABS1,dksA,RNA polymerase-binding transcription factor DksA,REP-1tjl,1tjl-A_clean.pdb,Protein Data Bank,17527.5646,3.55E-06,5979,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0146,P0A823,sfsA,Sugar fermentation stimulation protein A,REP-4dap,4dap-A_clean.pdb,Protein Data Bank,26228.4868,1.72E-08,29,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0147,P37025,thpR,"RNA 2',3'-cyclic phosphodiesterase",REP-4qak,4qak-A_clean.pdb,Protein Data Bank,19933.6789,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0148,P37024,hrpB,ATP-dependent RNA helicase HrpB,REP-E00143,E00143_clean-X_clean.pdb,metaTASSER,89146.7441,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0149,P02919,mrcB,Penicillin-binding protein 1B,REP-3vma,3vma-A_clean.pdb,Protein Data Bank,94291.4317,6.23388E-05,39,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0150,P06971,fhuA,Ferrichrome-iron receptor,REP-1by5,1by5-A_clean.pdb,Protein Data Bank,82181.249,,785,Outer_Membrane,iJL1678,,,,iML1515_v1
b0151,P07821,fhuC,Iron(3+)-hydroxamate import ATP-binding protein FhuC,REP-6_250_4g1u.1.C_59ca2841c730d4399e39ac4d,b0151_6_250_4g1u_clean.pdb,SWISS-MODEL,28886.0953,2.37E-09,4,Cytosol,iJL1678,x,,,iML1515_v1
b0152,P07822,fhuD,Iron(3+)-hydroxamate-binding protein FhuD,REP-1k2v,1k2v-N_clean.pdb,Protein Data Bank,32997.955,,,Periplasm,iJL1678,,,,iML1515_v1
b0153,P06972,fhuB,Iron(3+)-hydroxamate import system permease protein FhuB,REP-E00148,E00148_clean-X_clean.pdb,metaTASSER,70422.2031,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0154,P23893,hemL,"Glutamate-1-semialdehyde 2,1-aminomutase",REP-4e77,4e77-A_clean.pdb,Protein Data Bank,45365.6295,1.41E-06,2374,Cytosol,iJL1678,x,,,iML1515_v1
b0155,P37019,clcA,H(+)/Cl(-) exchange transporter ClcA,REP-3det,3det-A_clean.pdb,Protein Data Bank,50348.1235,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0156,P0ACC3,erpA,Iron-sulfur cluster insertion protein ErpA,REP-2apn,2apn-A_clean.pdb,Protein Data Bank,12100.354,2.15E-06,3626,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b0157,P0AFP0,yadS,UPF0126 inner membrane protein YadS,REP-2_198_5wuf.1.A_59cb0028573f201ed265c4d2,b0157_2_198_5wuf_clean.pdb,SWISS-MODEL,22127.4203,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0158,P37028,btuF,Vitamin B12-binding protein,REP-5m29,5m29-A_clean.pdb,Protein Data Bank,29366.4592,,,Periplasm,iJL1678,,,,iML1515_v1
b0159,P0AF12,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,REP-3o4v,3o4v-A_clean.pdb,Protein Data Bank,24353.6853,1.35E-06,2269,Cytosol,iJL1678,x,,,iML1515_v1
b0160,P15723,dgt,Deoxyguanosinetriphosphate triphosphohydrolase,REP-4x9e,4x9e-A_clean.pdb,Protein Data Bank,59382.2185,,,Cytosol,iJL1678,,,,iML1515_v1
b0161,P0C0V0,degP,Periplasmic serine endoprotease DegP,REP-1ky9,1ky9-B_clean.pdb,Protein Data Bank,49353.6637,0.003080177,1927,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b0162,P37047,cdaR,Carbohydrate diacid regulator,REP-E00157,E00157_clean-X_clean.pdb,metaTASSER,43686.8354,0,0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0163,P62768,yaeH,UPF0325 protein YaeH,REP-E00158,E00158_clean-X_clean.pdb,metaTASSER,15095.9771,6.91E-07,1165,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0164,P37049,yaeI,Phosphodiesterase YaeI,REP-E00159,E00159_clean-X_clean.pdb,metaTASSER,29863.0503,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0166,P0A9D8,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",REP-3bxy,3bxy-A_clean.pdb,Protein Data Bank,29891.7343,7.03E-06,11858,Cytosol,iJL1678,x,,,iML1515_v1
b0167,P27249,glnD,Bifunctional uridylyltransferase/uridylyl-removing enzyme,REP-E00161,E00161_clean-X_clean.pdb,metaTASSER,102388.8966,5.46E-08,92,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0168,P0AE18,map,Methionine aminopeptidase,REP-1xnz,1xnz-A_clean.pdb,Protein Data Bank,29330.4873,7.61E-07,1283,Cytosol,iJL1678,x,,,iML1515_v1
b0169,P0A7V0,rpsB,30S ribosomal protein S2,REP-5mdv,5mdv-g_clean.pdb,Protein Data Bank,26743.3269,1.98E-05,33317,Cytosol,iJL1678,x,,,iML1515_v1
b0170,P0A6P1,tsf,Elongation factor Ts,REP-4pc3,4pc3-C_clean.pdb,Protein Data Bank,30422.6322,1.19E-05,19987,Cytosol,iJL1678,x,,,iML1515_v1
b0171,P0A7E9,pyrH,Uridylate kinase,REP-2bne,2bne-A_clean.pdb,Protein Data Bank,25969.9802,3.91E-07,660,Cytosol,iJL1678,x,,,iML1515_v1
b0172,P0A805,frr,Ribosome-recycling factor,REP-1ise,1ise-A_clean.pdb,Protein Data Bank,20638.3342,2.69E-06,4527,Cytosol,iJL1678,x,,,iML1515_v1
b0173,P45568,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,REP-1q0q,1q0q-A_clean.pdb,Protein Data Bank,43387.5375,,,Cytosol,iJL1678,,,,iML1515_v1
b0174,P60472,ispU,"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)",REP-3sgv,3sgv-A_clean.pdb,Protein Data Bank,28443.7984,2.14E-08,36,Cytosol,iJL1678,x,,,iML1515_v1
b0175,P0ABG1,cdsA,Phosphatidate cytidylyltransferase,REP-E00169,E00169_clean-X_clean.pdb,metaTASSER,31453.3805,9.43074E-05,59,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0176,P0AEH1,rseP,Regulator of sigma-E protease RseP,REP-E00170,E00170_clean-X_clean.pdb,metaTASSER,49070.6852,1.91812E-05,12,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b0177,P0A940,bamA,Outer membrane protein assembly factor BamA,REP-5d0o,5d0o-A_clean.pdb,Protein Data Bank,90551.6267,,1957,Outer_Membrane,iJL1678,,,,iML1515_v1
b0178,P0AEU7,skp,Chaperone protein Skp,REP-1u2m,1u2m-A_clean.pdb,Protein Data Bank,17688.0332,4.33E-05,9612,Periplasm,Heinemann 2016,,,,iML1515_v1
b0179,P21645,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,REP-3eh0,3eh0-A_clean.pdb,Protein Data Bank,36038.1064,8.66E-08,146,Cytosol,iJL1678,x,,,iML1515_v1
b0180,P0A6Q6,fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,REP-5bux,5bux-A_clean.pdb,Protein Data Bank,17032.757,2.49E-06,4193,Cytosol,iJL1678,x,,,iML1515_v1
b0181,P0A722,lpxA,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,REP-2qia,2qia-A_clean.pdb,Protein Data Bank,28079.6653,4.69E-07,790,Cytosol,iJL1678,x,,,iML1515_v1
b0182,P10441,lpxB,Lipid-A-disaccharide synthase,REP-E00176,E00176_clean-X_clean.pdb,metaTASSER,42381.9724,1.42E-08,24,Cytosol,iJL1678,x,,,iML1515_v1
b0183,P10442,rnhB,Ribonuclease HII,REP-6_195_3o3f.1.A_59cb34d0afa3583eb12382e4,b0183_6_195_3o3f_clean.pdb,SWISS-MODEL,21525.7456,7.12E-09,12,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0184,P10443,dnaE,DNA polymerase III subunit alpha,REP-5fkv,5fkv-A_clean.pdb,Protein Data Bank,129903.0568,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0185,P0ABD5,accA,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,REP-2f9y,2f9y-A_clean.pdb,Protein Data Bank,35241.1323,1.82E-06,3071,Cytosol,iJL1678,x,,,iML1515_v1
b0186,P52095,ldcC,Constitutive lysine decarboxylase,REP-5fkz,5fkz-E_clean.pdb,Protein Data Bank,80589.3758,,,Cytosol,iJL1678,,,,iML1515_v1
b0187,P52096,yaeR,Uncharacterized protein YaeR,REP-3_129_1jc5.1.B_59cc2ce6a52be703be98f758,b0187_3_129_1jc5_clean.pdb,SWISS-MODEL,14736.5119,5.28E-08,89,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0188,P52097,tilS,tRNA(Ile)-lysidine synthase,REP-1ni5,1ni5-A_clean.pdb,Protein Data Bank,48203.5846,,,Cytosol,iJL1678,,,,iML1515_v1
b0189,P0AFW8,rof,Protein rof,REP-1sg5,1sg5-A_clean.pdb,Protein Data Bank,9479.5393,5.49E-07,926,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0190,P0AA97,yaeQ,Uncharacterized protein YaeQ,REP-3c0u,3c0u-A_clean.pdb,Protein Data Bank,20876.4266,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0191,P40711,arfB,Peptidyl-tRNA hydrolase ArfB,REP-2jy9,2jy9-A_clean.pdb,Protein Data Bank,15622.8823,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0192,P40710,nlpE,Lipoprotein NlpE,REP-2z4i,2z4i-A_clean.pdb,Protein Data Bank,25844.0227,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0193,P37056,yaeF,Probable lipoprotein peptidase YaeF,REP-E00188,E00188_clean-X_clean.pdb,metaTASSER,29911.9924,,,Outer_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0194,P16659,proS,Proline--tRNA ligase,REP-2_570_5ucm.1.A_59cae0acafa3581d29e29349,b0194_2_570_5ucm_clean.pdb,SWISS-MODEL,63691.8334,2.31E-06,3902,Cytosol,iJL1678,x,,,iML1515_v1
b0195,P28634,trmO,tRNA (adenine(37)-N6)-methyltransferase,REP-1_228_1xqb.1.A_59cb6306c730d46b17379537,b0195_1_228_1xqb_clean.pdb,SWISS-MODEL,26362.0054,1.30E-08,22,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b0196,P69411,rcsF,Outer membrane lipoprotein RcsF,REP-E00191,E00191_clean-X_clean.pdb,metaTASSER,14163.339,,616,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b0197,P28635,metQ,D-methionine-binding lipoprotein MetQ,REP-4yah,4yah-X_clean.pdb,Protein Data Bank,29431.2573,0.046752512,29249,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0198,P31547,metI,D-methionine transport system permease protein MetI,REP-3tui,3tui-A_clean.pdb,Protein Data Bank,23255.7965,0.000567443,355,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0199,P30750,metN,Methionine import ATP-binding protein MetN,REP-3tui,3tui-C_clean.pdb,Protein Data Bank,37787.9287,5.71E-07,962,Cytosol,iJL1678,x,,,iML1515_v1
b0200,P63228,gmhB,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",REP-2gmw,2gmw-A_clean.pdb,Protein Data Bank,21294.0077,1.70E-07,286,Cytosol,iJL1678,x,,,iML1515_v1
b0207,P30863,dkgB,"2,5-diketo-D-gluconic acid reductase B",REP-3_267_3up8.1.A_59ca1712c730d42fcef5f62b,b0207_3_267_3up8_clean.pdb,SWISS-MODEL,29436.4224,2.79E-08,47,Cytosol,iJL1678,x,,,iML1515_v1
b0208,P30864,yafC,Uncharacterized HTH-type transcriptional regulator YafC,REP-2_296_5ae5.1.A_59f2d215b4c268a918d8217c,b0208_2_296_5ae5_clean.pdb,SWISS-MODEL,33775.4229,4.15E-09,7,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0209,P0A8U2,yafD,UPF0294 protein YafD,REP-E00198,E00198_clean-X_clean.pdb,metaTASSER,29991.3105,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0210,P30866,yafE,Uncharacterized protein YafE,REP-3_206_1xxl.1.A_59cb0385573f209c228232af,b0210_3_206_1xxl_clean.pdb,SWISS-MODEL,22990.8153,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0211,P0AEZ7,mltD,Membrane-bound lytic murein transglycosylase D,REP-E00200,E00200_clean-X_clean.pdb,metaTASSER,49416.903,,,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b0212,P0AC84,gloB,Hydroxyacylglutathione hydrolase GloB,REP-2qed,2qed-A_clean.pdb,Protein Data Bank,28434.035,1.21E-07,204,Cytosol,iJL1678,x,,,iML1515_v1
b0213,P75672,yafS,Uncharacterized protein YafS,REP-E00202,E00202_clean-X_clean.pdb,metaTASSER,27243.8542,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0214,P0A7Y4,rnhA,Ribonuclease HI,REP-1jl1,1jl1-A_clean.pdb,Protein Data Bank,17596.7878,8.90E-09,15,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0215,P03007,dnaQ,DNA polymerase III subunit epsilon,REP-5m1s,5m1s-D_clean.pdb,Protein Data Bank,27098.6267,1.19E-08,20,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0217,P77339,yafT,Uncharacterized lipoprotein YafT,REP-E00205,E00205_clean-X_clean.pdb,metaTASSER,29605.3452,,,Outer_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b0218,P77354,yafU,Putative inner membrane protein YafU,,,,12136.1215,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0219,Q47679,yafV,Omega-amidase YafV,REP-1_255_2e11.1.A_59ca3500c730d42a9e5e7ca9,b0219_1_255_2e11_clean.pdb,SWISS-MODEL,28924.5475,2.73E-08,46,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0220,P0AD59,ivy,Inhibitor of vertebrate lysozyme,REP-30_156_1gpq.1.A_59cbcdad7aaa0d6a9844ee85,b0220_30_156_1gpq_clean.pdb,SWISS-MODEL,16872.1197,4.65E-06,1032,Periplasm,Heinemann 2016,,,,iML1515_v1
b0221,Q47146,fadE,Acyl-coenzyme A dehydrogenase,REP-E00209,E00209_clean-X_clean.pdb,metaTASSER,89223.3748,6.39372E-06,4,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0222,P63224,gmhA,Phosphoheptose isomerase,REP-2i2w,2i2w-A_clean.pdb,Protein Data Bank,20814.5109,1.53E-06,2576,Cytosol,iJL1678,x,,,iML1515_v1
b0223,Q47147,yafJ,Putative glutamine amidotransferase YafJ,REP-2_252_1te5.1.A_59ca34bdc730d42a9e5e7772,b0223_2_252_1te5_clean.pdb,SWISS-MODEL,28635.2828,4.09E-08,69,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0224,P0AA99,yafK,"Putative L,D-transpeptidase YafK",REP-E00212,E00212_clean-X_clean.pdb,metaTASSER,28020.8852,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0225,Q47149,yafQ,mRNA interferase toxin YafQ,REP-4q2u,4q2u-B_clean.pdb,Protein Data Bank,10846.485,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0226,Q47150,dinJ,Antitoxin DinJ,REP-4q2u,4q2u-A_clean.pdb,Protein Data Bank,9405.6827,1.47E-07,248,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0227,Q47151,yafL,Probable endopeptidase YafL,REP-E00215,E00215_clean-X_clean.pdb,metaTASSER,28784.4398,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0228,Q47152,rayT,REP-associated tyrosine transposase,REP-4er8,4er8-A_clean.pdb,Protein Data Bank,20041.589,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0229,Q47153,lfhA,Putative truncated flagellar export/assembly protein LfhA,,,,63152.4498,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0230,Q47154,lafU,Putative truncated flagellar export/assembly protein LafU,,,,23779.0321,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0231,Q47155,dinB,DNA polymerase IV,REP-5c5j,5c5j-A_clean.pdb,Protein Data Bank,39515.4665,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0232,Q47156,yafN,Antitoxin YafN,REP-E00218,E00218_clean-X_clean.pdb,metaTASSER,11233.6336,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0233,Q47157,yafO,mRNA interferase toxin YafO,REP-E00219,E00219_clean-X_clean.pdb,metaTASSER,15487.6528,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0234,Q47158,yafP,Uncharacterized N-acetyltransferase YafP,REP-3_149_4xnh.1.B_59cbf7d91405500d60b1969d,b0234_3_149_4xnh_clean.pdb,SWISS-MODEL,17554.9323,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0235,P75675,ykfJ,Putative uncharacterized protein YkfJ,,,,9820.1581,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0236,P28369,prfH,Putative peptide chain release factor homolog,REP-1_159_4v9n.1.D_59cbcc237aaa0d36cc42a2b4,b0236_1_159_4v9n_clean.pdb,SWISS-MODEL,18833.8256,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0237,P15288,pepD,Cytosol non-specific dipeptidase,REP-2_485_3mru.1.A_59ca2e95b4c268662e5d0856,b0237_2_485_3mru_clean.pdb,SWISS-MODEL,52914.7747,1.43E-06,2409,Cytosol,iJL1678,x,,,iML1515_v1
b0238,P0A9M5,gpt,Xanthine phosphoribosyltransferase,REP-1nul,1nul-A_clean.pdb,Protein Data Bank,16970.3864,1.84E-06,3100,Cytosol,iJL1678,x,,,iML1515_v1
b0239,P04335,frsA,Esterase FrsA,REP-15_414_4i4c.2.A_59f2a8dbad01f00a1d8a8af3,b0239_15_414_4i4c_clean.pdb,SWISS-MODEL,47008.2336,6.17E-08,104,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b0240,P24251,crl,Sigma factor-binding protein Crl,REP-2mz8,2mz8-A_clean.pdb,Protein Data Bank,15654.802,8.07E-08,136,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0241,P02932,phoE,Outer membrane pore protein E,REP-22_351_1pho.1.A_59f1f7b8ad01f01d2f69c7ea,b0241_22_351_1pho_clean.pdb,SWISS-MODEL,38921.5191,,,Outer_Membrane,iJL1678,,,,iML1515_v1
b0242,P0A7B5,proB,Glutamate 5-kinase,REP-2j5v,2j5v-A_clean.pdb,Protein Data Bank,39056.0532,3.07E-07,518,Cytosol,iJL1678,x,,,iML1515_v1
b0243,P07004,proA,Gamma-glutamyl phosphate reductase,REP-10_416_1o20.1.A_59fc7cfe3d4e1d3d192aec28,b0243_10_416_1o20_clean.pdb,SWISS-MODEL,44629.5476,3.07E-07,518,Cytosol,iJL1678,x,,,iML1515_v1
b0245,P77692,ykfI,Toxin YkfI,REP-E00228,E00228_clean-X_clean.pdb,metaTASSER,12904.8526,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0246,Q47684,yafW,Antitoxin YafW,REP-2ea9,2ea9-A_clean.pdb,Protein Data Bank,11939.4654,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0247,Q47685,ykfG,UPF0758 protein YkfG,REP-E00231,E00231_clean-X_clean.pdb,metaTASSER,18098.5484,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0248,P75676,yafX,Uncharacterized protein YafX,REP-9_152_2wj9.1.B_59cbfd5214055022b0a5915a,b0248_9_152_2wj9_clean.pdb,SWISS-MODEL,17419.3535,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0249,P75677,ykfF,UPF0401 protein YkfF,REP-2hjj,2hjj-A_clean.pdb,Protein Data Bank,9013.9348,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0250,P77162,ykfB,Uncharacterized protein YkfB,REP-E00234,E00234_clean-X_clean.pdb,metaTASSER,17025.5318,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0251,P77365,yafY,Lipoprotein YafY,REP-E00235,E00235_clean-X_clean.pdb,metaTASSER,16814.7969,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0252,P77206,yafZ,UPF0380 protein YafZ,REP-E00236,E00236_clean-X_clean.pdb,metaTASSER,31050.9525,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0253,P75678,ykfA,Uncharacterized protein YkfA,REP-E00237,E00237_clean-X_clean.pdb,metaTASSER,31891.3642,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0254,Q57083,perR,HTH-type transcriptional regulator PerR,REP-3_293_2esn.1.C_59fca6cf3d4e1d054706965e,b0254_3_293_2esn_clean.pdb,SWISS-MODEL,33638.3788,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0255,P75679,insN1,Transposase InsN for insertion sequence element IS911A,REP-15_121_3hh0.1.B_59950487f4763d64db6084ec,b0255_15_121_3hh0_clean.pdb,SWISS-MODEL,15249.3443,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0256,P0CF88,insI1,Transposase InsI for insertion sequence element IS30A,REP-E00239,E00239_clean-X_clean.pdb,metaTASSER,44266.3527,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0257,P75680,insO1,Putative transposase InsO for insertion sequence element IS911A,,,,15849.9389,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0258,Q47688,ykfC,Putative uncharacterized protein YkfC,,,,43164.7263,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0259,P0CE49,insH1,Transposase InsH for insertion sequence element IS5A,REP-INSH9_ECOLI,INSH9_ECOLI_model1_clean-X_clean.pdb,I-TASSER,39326.7214,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0260,Q47689,mmuP,Probable S-methylmethionine permease,REP-E00241,E00241_clean-X_clean.pdb,metaTASSER,50525.1973,3.19686E-06,2,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0261,Q47690,mmuM,Homocysteine S-methyltransferase,REP-5dmm,5dmm-A_clean.pdb,Protein Data Bank,33422.4289,5.46E-08,92,Cytosol,iJL1678,x,,,iML1515_v1
b0262,P37009,fbpC,Fe(3+) ions import ATP-binding protein FbpC,REP-6_345_3d31.1.A_59f22837ad01f06e0ad84417,b0262_6_345_3d31_clean.pdb,SWISS-MODEL,39058.3121,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0263,P75681,afuB,Putative ferric transport system permease-like protein AfuB,REP-6_108_4tqu.1.A_59cc4ee97f4bf97076f16595,b0263_6_108_4tqu_clean.pdb,SWISS-MODEL,13093.2223,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0264,P0CF26,insB2,Insertion element IS1 2 protein InsB,,,,19757.6073,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0265,P0CF08,insA2,Insertion element IS1 2 protein InsA,REP-INSA3_ECOLI,INSA3_ECOLI_model1_clean-X_clean.pdb,I-TASSER,9902.2959,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0266,P37008,yagB,Putative uncharacterized protein YagB,REP-2_109_2inw.1.A_59cc54a6b4c268f08d82acba,b0266_2_109_2inw_clean.pdb,SWISS-MODEL,13183.8739,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0267,P37007,yagA,Uncharacterized protein YagA,REP-E00246,E00246_clean-X_clean.pdb,metaTASSER,43768.1414,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0268,P75682,yagE,Probable 2-keto-3-deoxy-galactonate aldolase YagE,REP-4oe7,4oe7-A_clean.pdb,Protein Data Bank,32529.9893,1.01E-08,17,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0269,P77596,yagF,Uncharacterized protein YagF,REP-38_642_5j83.1.A_59cb9c531405509d3e917555,b0269_38_642_5j83_clean.pdb,SWISS-MODEL,69398.4213,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0270,P75683,yagG,Putative glycoside/cation symporter YagG,REP-E00249,E00249_clean-X_clean.pdb,metaTASSER,50631.2371,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0271,P77713,yagH,Putative beta-xylosidase,REP-2_536_2exh.1.A_59ca9554573f20817fe9ffd8,b0271_2_536_2exh_clean.pdb,SWISS-MODEL,60824.2731,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0272,P77300,yagI,Uncharacterized HTH-type transcriptional regulator YagI,REP-5_249_2xrn.1.A_59ca40c6140550807234b46e,b0272_5_249_2xrn_clean.pdb,SWISS-MODEL,27837.5869,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0273,P06960,argF,Ornithine carbamoyltransferase subunit F,REP-1duv,1duv-G_clean.pdb,Protein Data Bank,36826.7447,2.42E-07,408,Cytosol,iJL1678,x,,,iML1515_v1
